date,yr,ts_code,score,fwd_ret,position,mcap,amihud,max_rev,gap,sr5,vp_corr,pairs
2007-01,2007,sz000688,3.2073554659150934,0.1188118811881187,1.0,0.0,19.254709748923027,-0.034482758620689724,0.028301886792452824,0.17213114754098358,0.5044998594973246,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600523,3.1629792516462993,0.36842105263157876,1.0,0.0,19.47413775109941,-0.038112522686025496,0.012048192771084487,0.10344827586206884,-0.35341066878480015,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sz002096,3.0779860862897808,0.0769230769230771,1.0,0.0,19.314746039415937,-0.022012578616352085,-0.0,0.12,0.21928653887634486,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600619,2.9190381442582716,0.16770186335403703,1.0,0.0,18.91443060204797,-0.013550135501354976,0.003076923076922977,0.11538461538461531,-0.4691689196199114,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sz000670,2.8109068019142027,0.2424242424242422,1.0,0.0,19.569605308196845,-0.05063291139240489,0.04347826086956508,0.20481927710843362,0.49313084937483204,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sz000901,2.7798981123325768,0.2416666666666667,1.0,0.0,19.331602229072164,-0.0348837209302324,-0.0,0.09433962264150941,0.4080915860153702,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600433,2.7523925437513443,0.2359550561797754,1.0,0.0,19.054010170729946,-0.022222222222222143,-0.0,0.12745098039215685,-0.03974131469243526,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600552,2.738815124777236,0.19999999999999996,1.0,0.0,19.308113341746658,-0.03749999999999987,-0.0,0.14473684210526316,-0.16850317923920705,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600620,2.7247166322493053,0.22560975609756095,1.0,0.0,19.2490493851366,-0.03726708074534146,0.011904761904761862,0.06285714285714294,0.6422550842790649,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600728,2.669063465503257,0.27586206896551735,1.0,0.0,19.18180168890482,-0.04477611940298498,0.016949152542372947,0.10769230769230775,0.03253770882383688,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sz002101,2.6566066685695966,0.02493765586034935,1.0,0.0,20.732194468681826,0.10089686098654715,0.06726457399103136,0.0,0.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600556,2.5941895904152603,0.20446096654275103,1.0,0.0,18.96144672133013,-0.024561403508771784,0.0036496350364964014,0.06271777003484325,0.2325370488741421,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sh600655,2.5927538130446686,0.14229249011857714,1.0,0.0,19.30079319006851,-0.035335689045936425,-0.0,0.06985294117647067,-0.4063594217195295,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sz000892,2.576787826382477,0.31506849315068486,1.0,0.0,19.298100643759675,-0.048979591836734615,0.004347826086956386,0.17669172932330834,0.3509272149041349,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-01,2007,sz002094,2.5656004399618633,0.12669683257918574,1.0,0.0,19.274983250381524,-0.015936254980079667,-0.004464285714285587,0.09053497942386834,-0.6064643099847327,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000672,3.0766369251573877,0.22429906542056077,1.0,0.0,19.471919034804802,-0.049180327868852514,0.044247787610619316,0.18939393939393934,-0.09963106862579257,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sh600052,3.0316443262702957,0.3978947368421053,1.0,0.0,19.82609378441871,-0.06633906633906617,0.04609218436873752,0.10377358490566035,-0.004708858642804865,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000757,2.9034154765494367,0.373015873015873,1.0,0.0,19.537789331111785,-0.05633802816901423,0.05343511450381688,0.125,-0.15514466855907907,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sh600657,2.7623119645233896,0.6199261992619924,1.0,0.0,19.54046835243336,-0.051851851851851816,0.02491103202846967,0.09666666666666668,0.15715977999935465,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sh600076,2.7508250108884686,0.483568075117371,1.0,0.0,19.545990824452645,-0.05288461538461542,0.027649769585253448,0.09361702127659588,0.177847305464641,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000506,2.648562493718191,0.26016260162601634,1.0,0.0,19.598624185133314,-0.04878048780487809,0.015625,0.15172413793103445,0.31667164148686844,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sh600429,2.645586439211888,0.3177842565597666,1.0,0.0,19.51362374426691,-0.053221288515406195,0.03370786516853941,0.07046070460704601,0.35646926050710853,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sh600338,2.5601214787606335,0.297752808988764,1.0,0.0,19.64903355479446,-0.05217391304347818,0.021505376344086002,0.0557029177718833,0.24320286101612806,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000668,2.518872076484258,0.08648648648648627,1.0,0.0,19.182454131493152,-0.0546875,0.02929427430093201,0.10085054678007288,0.4417937403951946,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sh600265,2.514223537975628,0.23236514522821583,1.0,0.0,19.822635506414098,-0.07126436781609202,0.029069767441860517,0.060428849902534054,0.5588323275540712,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000999,2.4953826801775048,0.052219321148825104,1.0,0.0,19.521434282882584,-0.05246913580246915,0.03626943005181338,0.04962779156327546,0.06484969766931317,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000972,2.4600081016297675,0.2216427640156453,1.0,0.0,19.2680873812859,-0.05495978552278813,0.024173027989821905,0.10917537746806039,0.48389385449566247,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz002111,2.4589447627227567,0.008605851979346157,1.0,0.0,19.854332446465467,-0.030944625407166138,0.025597269624573427,0.0,0.5058262045667559,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000887,2.437765929905674,0.26728110599078336,1.0,0.0,19.604627635781664,-0.051401869158878455,0.03056768558951961,0.03555555555555556,0.5016730575696778,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-02,2007,sz000950,2.4328219560258155,0.40662650602409633,1.0,0.0,19.40295541806244,-0.05067567567567566,0.023323615160349864,0.07002801120448177,0.09589653015177238,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sz000039,3.0704696456165927,0.09943181818181812,1.0,0.0,19.77442001926774,-0.04932182490752157,0.006578947368421018,0.13193588162762016,-0.2025028237232177,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sz002115,2.9372674556042107,0.044520547945205546,1.0,0.0,19.927125569892333,-0.04467353951890041,0.006578947368421018,0.07301587301587298,-0.7851389226834369,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sh601005,2.819529206625981,0.02833333333333332,1.0,0.0,20.714216002435585,0.09909909909909909,0.09909909909909909,0.0,0.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sh600636,2.803650628720235,0.11254851228978002,1.0,0.0,19.788443204970534,-0.05337078651685401,0.030303030303030276,0.07202881152460983,-0.31293616543958735,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sz002032,2.787633711839916,0.29216867469879526,1.0,0.0,19.269817565959887,-0.034946236559139754,0.016901408450704092,0.13989637305699487,-0.7190324887008264,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sz002052,2.7792756054420424,0.29921259842519676,1.0,0.0,19.5207954033893,-0.04158415841584162,0.019011406844106404,0.09929078014184389,-0.7808982501211152,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sh600266,2.7036353506246913,0.2637362637362637,1.0,0.0,19.661814464517764,-0.04594594594594592,0.0051679586563307955,0.09900990099009899,-0.42157491035813965,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sz000001,2.701225060029234,0.04907975460122693,1.0,0.0,19.769007734551476,-0.05167173252279622,0.00291545189504383,0.11891891891891904,0.24074032031941242,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sh600458,2.6431242109167696,0.017857142857142794,1.0,0.0,19.67359802843243,-0.0709570957095711,0.03795066413662229,0.19872813990461047,-0.22276573855025145,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sh601003,2.6045321976362277,0.06792452830188678,1.0,0.0,19.82084129206956,0.02083333333333337,0.01773049645390068,0.0,0.0,max_xgap|max_xsr5|amihxmax_|gapxsr5
2007-03,2007,sh600037,2.6041164206082508,0.24938875305623487,1.0,0.0,19.724936082011663,-0.05578512396694224,0.0014858841010402246,0.2149712092130519,-0.6518485519542913,max_xgap|max_xsr5|amihxmax_|gapxsr5
