date,yr,ts_code,score,fwd_ret,pos,mcap
2007-01,2007,sh600433,3.2799269911078484,0.2359550561797754,1.0,0.0
2007-01,2007,sh600552,3.0968780369798994,0.19999999999999996,1.0,0.0
2007-01,2007,sz000008,3.049864855702386,0.34042553191489366,1.0,0.0
2007-01,2007,sz000688,3.0314196889630343,0.1188118811881187,1.0,0.0
2007-01,2007,sz000415,2.9418557249870045,0.27884615384615397,1.0,0.0
2007-01,2007,sz000977,2.8956842135221312,0.23809523809523814,1.0,0.0
2007-01,2007,sz002091,2.862888597403924,0.14598540145985406,1.0,0.0
2007-01,2007,sh600728,2.834339207583148,0.27586206896551735,1.0,0.0
2007-01,2007,sh600673,2.819241049044531,0.43199999999999994,1.0,0.0
2007-01,2007,sz002085,2.808536231144043,0.1477272727272727,1.0,0.0
2007-01,2007,sh600185,2.785102569876173,0.17567567567567566,1.0,0.0
2007-01,2007,sh600577,2.7678104614828287,0.23611111111111116,1.0,0.0
2007-01,2007,sz002001,2.7477941219554864,0.13636363636363646,1.0,0.0
2007-01,2007,sh600502,2.7446471725167814,0.15555555555555567,1.0,0.0
2007-01,2007,sz000670,2.70251513205971,0.2424242424242422,1.0,0.0
2007-01,2007,sz002035,2.6933781386834124,0.21621621621621623,1.0,0.0
2007-01,2007,sh600568,2.654960996912064,0.1186440677966103,1.0,0.0
2007-01,2007,sz002006,2.6290950312602277,0.12037037037037024,1.0,0.0
2007-01,2007,sh600603,2.6231583502769436,0.22916666666666674,1.0,0.0
2007-01,2007,sh600336,2.6220873243940273,0.7222222222222223,1.0,0.0
2007-01,2007,sh600715,2.6139893391280618,0.33333333333333326,1.0,0.0
2007-01,2007,sz002050,2.596712507188304,0.1617647058823528,1.0,0.0
2007-01,2007,sh600551,2.595353112085642,0.29600000000000004,1.0,0.0
2007-01,2007,sz000509,2.5658235180375155,0.6545454545454545,1.0,0.0
2007-01,2007,sh600079,2.5615641079513733,0.23611111111111116,1.0,0.0
2007-01,2007,sz000056,2.5604351152514253,0.9054054054054053,1.0,0.0
2007-01,2007,sz000506,2.537737862752993,0.06779661016949157,1.0,0.0
2007-01,2007,sz000070,2.527455344624237,0.2193548387096773,1.0,0.0
2007-01,2007,sh600545,2.513412726248463,0.256,1.0,0.0
2007-01,2007,sz000034,2.49788347874564,0.31000000000000005,1.0,0.0
2007-02,2007,sz000672,3.2964168562630776,0.22429906542056077,1.0,0.0
2007-02,2007,sz000506,3.208430415832899,0.26016260162601634,1.0,0.0
2007-02,2007,sz000688,3.0626520959159866,0.40909090909090895,1.0,0.0
2007-02,2007,sh600734,2.996302869987116,0.3571428571428572,1.0,0.0
2007-02,2007,sz000757,2.966533378105498,0.373015873015873,1.0,0.0
2007-02,2007,sh600594,2.9201861928126975,0.2941176470588236,1.0,0.0
2007-02,2007,sz000670,2.879188253245982,0.33333333333333326,1.0,0.0
2007-02,2007,sz000838,2.765755537890348,0.13669064748201443,1.0,0.0
2007-02,2007,sz000065,2.7456626965635076,0.17460317460317465,1.0,0.0
2007-02,2007,sz000555,2.7300284166186968,0.5337078651685392,1.0,0.0
2007-02,2007,sh600259,2.663589912861794,0.5637254901960784,1.0,0.0
2007-02,2007,sz002108,2.6541316027521176,0.0,1.0,0.0
2007-02,2007,sz002107,2.63375170179911,0.02262443438914019,1.0,0.0
2007-02,2007,sh600400,2.6171635387066026,0.3088235294117647,1.0,0.0
2007-02,2007,sh600282,2.55417298654703,0.33333333333333326,1.0,0.0
2007-02,2007,sh600760,2.5201105446061725,0.40909090909090895,1.0,0.0
2007-02,2007,sh600575,2.515920007066083,0.32692307692307687,1.0,0.0
2007-02,2007,sz000906,2.5099195471615365,0.3080168776371308,1.0,0.0
2007-02,2007,sh600076,2.508023583052365,0.483568075117371,1.0,0.0
2007-02,2007,sz000967,2.498461908634327,0.23364485981308403,1.0,0.0
2007-02,2007,sh600703,2.487852123936661,0.4666666666666668,1.0,0.0
2007-02,2007,sh600522,2.4779262949663297,0.20192307692307687,1.0,0.0
2007-02,2007,sh600216,2.477238151366465,0.1518324607329844,1.0,0.0
2007-02,2007,sz002006,2.467110733441152,0.2682926829268293,1.0,0.0
2007-02,2007,sz000090,2.466671577898998,0.25714285714285734,1.0,0.0
2007-02,2007,sh601398,2.4613977138784575,-0.04102564102564099,1.0,0.0
2007-02,2007,sz002042,2.458684733910194,0.3538461538461537,1.0,0.0
2007-02,2007,sz000973,2.451896953969951,0.6187499999999999,1.0,0.0
2007-02,2007,sh600480,2.449327313456929,0.7180851063829787,1.0,0.0
2007-02,2007,sz000498,2.4228548194037076,0.4615384615384617,1.0,0.0
2007-03,2007,sz002065,3.0471519273583567,0.16304347826086962,1.0,0.0
2007-03,2007,sh600261,3.02150220924302,0.26530612244897966,1.0,0.0
2007-03,2007,sh600588,2.773818816988938,0.09333333333333327,1.0,0.0
2007-03,2007,sh600305,2.7659927835701947,0.05213270142180115,1.0,0.0
2007-03,2007,sz002085,2.721302453844569,0.16666666666666652,1.0,0.0
2007-03,2007,sz002063,2.7081355478717457,0.17721518987341778,1.0,0.0
2007-03,2007,sh600446,2.7037900318407675,0.17560975609756113,1.0,0.0
2007-03,2007,sh600527,2.681827959522928,0.25688073394495414,1.0,0.0
2007-03,2007,sh600056,2.6786089179991928,0.17142857142857126,1.0,0.0
2007-03,2007,sz002062,2.6725014803030382,0.2706766917293233,1.0,0.0
2007-03,2007,sh600481,2.6354958046045596,0.15492957746478875,1.0,0.0
2007-03,2007,sh600433,2.6222530782322098,0.18644067796610164,1.0,0.0
2007-03,2007,sz002043,2.5904265629073677,0.25,1.0,0.0
2007-03,2007,sh601398,2.572582735447994,0.16216216216216206,1.0,0.0
2007-03,2007,sz002108,2.5697034605266458,0.07692307692307687,1.0,0.0
2007-03,2007,sh600066,2.5406032491416526,0.06790123456790109,1.0,0.0
2007-03,2007,sh600337,2.518863887370792,0.2857142857142858,1.0,0.0
2007-03,2007,sz000563,2.5110663578616443,0.286624203821656,1.0,0.0
2007-03,2007,sz002099,2.510217891485996,0.1150442477876108,1.0,0.0
2007-03,2007,sh600055,2.510159933536484,0.36363636363636354,1.0,0.0
2007-03,2007,sh600521,2.494456939713851,0.1918367346938774,1.0,0.0
2007-03,2007,sz002014,2.4767499310205388,0.2682926829268293,1.0,0.0
2007-03,2007,sh600388,2.4766735405428206,0.140625,1.0,0.0
2007-03,2007,sh600518,2.471522694052717,0.5157894736842106,1.0,0.0
2007-03,2007,sz002100,2.4642351944992775,0.25609756097560976,1.0,0.0
2007-03,2007,sz000008,2.4593636863232162,0.11594202898550732,1.0,0.0
2007-03,2007,sz000530,2.4364123383163236,0.3076923076923077,1.0,0.0
2007-03,2007,sh600750,2.4356727568753334,0.30364372469635614,1.0,0.0
2007-03,2007,sh600252,2.425052200159774,0.21052631578947367,1.0,0.0
2007-03,2007,sh601988,2.40658166674141,0.19444444444444442,1.0,0.0
2007-04,2007,sh600487,2.888957337714058,0.13432835820895517,1.0,0.0
2007-04,2007,sh600562,2.779164819953495,0.4606060606060607,1.0,0.0
2007-04,2007,sh600530,2.770569775246978,0.7217391304347827,1.0,0.0
2007-04,2007,sz000509,2.757588786757621,0.2594936708860758,1.0,0.0
2007-04,2007,sz000937,2.735052462712452,0.6180555555555556,1.0,0.0
2007-04,2007,sz000567,2.7336784679667527,0.3769230769230769,1.0,0.0
2007-04,2007,sh600577,2.7055423876877227,0.3114754098360657,1.0,0.0
2007-04,2007,sh600681,2.7030561497154455,0.32089552238805963,1.0,0.0
2007-04,2007,sh600425,2.6587161650030193,0.17964071856287434,1.0,0.0
2007-04,2007,sh600760,2.649059260222762,0.16267942583732076,1.0,0.0
2007-04,2007,sh600388,2.6070031779524934,0.14864864864864846,1.0,0.0
2007-04,2007,sh600366,2.606377904960111,0.43494423791821557,1.0,0.0
2007-04,2007,sh600433,2.581437240657237,0.2777777777777779,1.0,0.0
2007-04,2007,sh600603,2.577828321514369,0.30180180180180183,1.0,0.0
2007-04,2007,sz002003,2.5682910516308888,0.06716417910447747,1.0,0.0
2007-04,2007,sz000078,2.5451248378104085,0.4184782608695652,1.0,0.0
2007-04,2007,sz002031,2.5365526762888453,0.11834319526627213,1.0,0.0
2007-04,2007,sz002007,2.524509697652908,0.07500000000000018,1.0,0.0
2007-04,2007,sh600166,2.500865144975013,0.5686274509803921,1.0,0.0
2007-04,2007,sz000035,2.4953631441014377,0.28395061728395055,1.0,0.0
